    [ 0.89 1 0.7 0.91 0.92 0.97 0.69 0.59 0.66 0.9 1 0.82 0.3 0 1 0.64 0.55 1 0.77 0.14 1 0.7 1 0.37 0.94 0.52 0.18 0.46 0.66 0.46 0.84 0.2 0.35 0.29 0.88 0.88 1 0.46 0.86 0.69 0.68 0.69 0.76 1 0.91 0 0.24 0.82 0.86 0 ]
    [ 0.13 0.86 0.12 0.43 0.53 0.26 0.22 0.92 0.21 0.59 0.82 1 0.23 0.82 0 0.47 0.28 0.92 1 0.99 0.92 0.92 0.69 0.26 0.85 0 0.36 0.14 0.59 0.99 0.41 0.25 0.3 0.34 0.94 0.85 1 0.86 0.63 0.84 0.85 0.37 0.36 0.96 0.16 0.28 1 0.95 0.86 0.43 ]
    [ 0.45 0.26 0.29 0.77 0 0.12 0.84 0 0.31 0.12 0.3 0.23 1 0 0.82 0.69 0.26 0.49 0.97 0.35 0.71 0.54 0.82 0.83 0.96 0.27 1 0.89 0.61 0.35 0.2 0.8 0 0.25 0.79 0.52 0.95 0.37 0.93 0.51 0.29 0.97 1 0 0.23 0.84 0.95 1 0.61 0.69 ]
    [ 0.46 0 0.6 0.94 0.33 0.64 0.8 0.22 0.64 0.29 0 0.82 0 1 1 0.58 0.44 0.46 0.32 0.43 0.96 0.58 0.95 0.48 0.37 0.79 0.64 0 0.86 0.81 1 0.64 0.5 1 0.27 1 0.56 0.99 0.83 0.39 0.95 0.68 0.72 0.48 1 0.7 0.84 0.79 0.64 0.85 ]
    [ 0.69 0 1 0.64 0.75 0.94 0.46 0 0.92 0.48 1 0 0.82 1 1 1 0.83 0.86 0.77 0.93 1 0 0.63 1 1 1 0.43 0.72 0.94 0.23 0.96 0.96 0.49 0.77 0.67 0 0.26 0.16 0.54 0.68 1 0.89 0.84 0.92 0.66 0.78 0 0.57 0.24 0.51 ]
    [ 1 0.73 0.68 0.14 0.78 0.58 0.55 1 1 0.18 0.64 0.47 0.69 0.58 1 1 0.24 0.33 0.41 0.55 0.91 0.13 0.63 0.71 0.84 0.45 0.95 0.28 0.65 0.76 0.87 0.97 0.56 0.77 0.95 0.6 0 0.56 0 0.49 1 0.94 0.34 0.73 0.75 1 0.45 0.89 0.48 0.67 ]
    [ 0.94 0.59 0.35 0.87 0.33 0.96 0.3 0 0.79 0 0.55 0.28 0.26 0.44 0.83 0.24 1 0.14 0.45 0.7 0.35 0.96 1 0.95 0 0.96 0.44 0.6 0.5 0.67 0.24 0.74 0.74 0.87 0.42 0 0.92 0.78 0 0.76 0 0.88 0.6 0.28 0.23 0.17 0.27 0.58 1 0.85 ]
    [ 0.61 1 0.28 0 0.79 0.48 0.35 0.27 0.38 0.38 1 0.92 0.49 0.46 0.86 0.33 0.14 1 0 0.35 0.77 0.34 0.54 0 0.51 1 0.33 0.89 0.42 0.71 0.66 0.35 0.44 0.24 0.63 0.47 0.93 0.9 0.6 0.88 0.99 0.91 0.38 1 0 0.14 0.74 1 0 1 ]
    [ 0.57 0.21 1 0.4 0.91 0.94 0.73 0.7 0.94 0.15 0.77 1 0.97 0.32 0.77 0.41 0.45 0 1 0.57 0.58 0.5 0.67 0.31 0.91 0.63 0.78 0.79 0.5 0.28 0.22 0 0.89 0.72 0.38 1 0.97 0.6 0.37 0 0.37 0.27 0.2 0.67 1 0 0.66 0.71 0.7 0.14 ]
    [ 0.58 0.26 1 0 0.32 0.98 0.24 0.15 0.79 0.74 0.14 0.99 0.35 0.43 0.93 0.55 0.7 0.35 0.57 1 0.37 0.72 0.48 0.66 0.4 0.3 0.68 0.62 0.8 0.75 0.93 0.82 0.28 0.3 0.6 0.75 0.34 0.52 0.97 0.84 0.37 0.35 0.36 0.62 0.95 0.7 0.31 0.63 0.69 0.27 ]
    [ 0.73 0 0.29 0.94 0.17 0.32 0.46 1 0.81 0.79 1 0.92 0.71 0.96 1 0.91 0.35 0.77 0.58 0.37 1 0.53 0.96 0.66 0.85 0.83 0.69 0.49 0.94 0.7 0.22 0.61 0.21 0.61 0.2 0.93 0.28 0.66 1 0.41 0 0.2 0.61 0.57 0.75 0.79 0.6 0.53 1 0.81 ]
    [ 0.27 0.47 0.48 0.31 1 0.66 0.68 0.34 0.44 0.49 0.7 0.92 0.54 0.58 0 0.13 0.96 0.34 0.5 0.72 0.53 1 0.61 0.84 0.88 0.82 1 0.92 0.63 0 0.5 0.95 0 0.38 0.82 0.79 0.74 0.68 0.51 0.4 0.71 0.45 0.61 0 0.65 0.65 0.7 1 1 0.89 ]
    [ 0.4 0.41 0.64 0.3 0.95 0.69 0.69 0.34 0.72 0.39 1 0.69 0.82 0.95 0.63 0.63 1 0.54 0.67 0.48 0.96 0.61 1 1 0.33 0.44 0.83 0.69 0.51 0.14 0.3 0.97 0.16 0.8 0.46 0.59 1 0.69 0 0.31 0.23 0.62 0.87 0.97 0.4 0.5 0.51 0.74 0.78 0.65 ]
    [ 0.16 1 0.49 0.48 0.38 0.95 0.92 0.7 0.54 0.68 0.37 0.26 0.83 0.48 1 0.71 0.95 0 0.31 0.66 0.66 0.84 1 1 0 0 1 0.4 0.62 0.77 0.63 1 0.91 1 0.32 0.71 0.71 0.19 0.16 0.93 0.25 0 0.27 0.59 1 0.91 0.96 0.89 0.72 0.87 ]
    [ 0.8 1 0.17 0 0.47 0.89 0.28 0.82 1 0.83 0.94 0.85 0.96 0.37 1 0.84 0 0.51 0.91 0.4 0.85 0.88 0.33 0 1 0.66 1 0.2 1 0.23 0.39 1 0.44 1 0.42 1 0.49 1 0.6 0.49 0.93 0.74 0.21 0 0.46 0.46 0.76 0.19 0 0.41 ]
    [ 0.35 0.41 0.49 0 0.48 0.37 0.37 0.64 0.44 0.19 0.52 0 0.27 0.79 1 0.45 0.96 1 0.63 0.3 0.83 0.82 0.44 0 0.66 1 1 1 0.22 1 0.94 0.49 0.88 1 0.33 0.55 0.65 0.81 0.72 0.31 0.41 1 0.89 0.15 0.26 0.13 0.96 0.76 0.5 0.62 ]
    [ 0.25 1 0.59 0.39 0.87 0.48 0.26 0.71 0.37 1 0.18 0.36 1 0.64 0.43 0.95 0.44 0.33 0.78 0.68 0.69 1 0.83 1 1 1 1 0.82 0.8 0.34 1 0.3 0 0.25 0.85 0.77 0.94 0.91 0.92 0.86 0.4 0.61 0.89 0.36 1 0.46 0.93 0.18 0.17 0.7 ]
    [ 0.25 0.61 0.95 0.82 0.95 0.81 0.61 0 0.59 1 0.46 0.14 0.89 0 0.72 0.28 0.6 0.89 0.79 0.62 0.49 0.92 0.69 0.4 0.2 1 0.82 1 0.26 0.19 0.19 0.43 0.66 0.95 0.35 0 0.15 1 0.95 0.52 0.48 1 0 0.84 0.89 0.44 0.81 0.35 0.86 0.69 ]
    [ 0.86 0.84 0.89 0.55 0.94 0.86 0.51 1 0.65 0.38 0.66 0.59 0.61 0.86 0.94 0.65 0.5 0.42 0.5 0.8 0.94 0.63 0.51 0.62 1 0.22 0.8 0.26 1 0.54 1 0.18 1 0.89 0.17 1 0.71 0.62 1 0.74 0.27 0.55 0.19 0.6 0.78 0.47 0.99 0.73 0.95 0.89 ]
    [ 0.51 0.27 0.75 0.45 0.94 1 0.97 0.26 0.89 0.62 0.46 0.99 0.35 0.81 0.23 0.76 0.67 0.71 0.28 0.75 0.7 0 0.14 0.77 0.23 1 0.34 0.19 0.54 1 0.69 1 0.87 0.64 0.34 1 0.62 0.91 0.75 0.87 0.33 0.61 0.67 0.6 0.13 0.43 1 0.43 0.27 1 ]
    [ 1 0.33 0.49 0.91 0.99 0.87 0.38 0 0.44 0.3 0.84 0.41 0.2 1 0.96 0.87 0.24 0.66 0.22 0.93 0.22 0.5 0.3 0.63 0.39 0.94 1 0.19 1 0.69 1 0.13 0 0.96 0.26 0.48 0.92 0.15 0.33 1 0.61 1 0.68 0.16 0.68 0.34 0.68 0.47 0.91 1 ]
    [ 0.23 0.43 0.69 0.52 0.26 0.61 0.4 0.96 0 0.93 0.2 0.25 0.8 0.64 0.96 0.97 0.74 0.35 0 0.82 0.61 0.95 0.97 1 1 0.49 0.3 0.43 0.18 1 0.13 1 0.82 0 0.52 0.44 0.6 0.95 0.33 0.89 0.81 0.28 0.64 0.33 0.3 1 0.91 0.55 0.8 0.64 ]
    [ 0.3 0.23 0.85 0.24 0.51 0.89 0 0.74 0.8 0.77 0.35 0.3 0 0.5 0.49 0.56 0.74 0.44 0.89 0.28 0.21 0 0.16 0.91 0.44 0.88 0 0.66 1 0.87 0 0.82 1 0.79 0.33 0.76 0.24 1 0.27 0.86 0.94 0.38 0.98 0.76 1 0.81 1 0 0.61 1 ]
    [ 0.63 0.19 0.89 0.2 0.37 0.39 0.49 0.99 0.24 1 0.29 0.34 0.25 1 0.77 0.77 0.87 0.24 0.72 0.3 0.61 0.38 0.8 1 1 1 0.25 0.95 0.89 0.64 0.96 0 0.79 1 0.64 0.91 0.5 0 0.36 0.53 0.25 0.78 0.75 0.95 0 0.57 1 0.87 0.12 0.76 ]
    [ 0.57 0.12 0.14 1 0.63 0.9 1 0.8 0.52 0 0.88 0.94 0.79 0.27 0.67 0.95 0.42 0.63 0.38 0.6 0.2 0.82 0.46 0.32 0.42 0.33 0.85 0.35 0.17 0.34 0.26 0.52 0.33 0.64 1 0.81 0.8 0.27 0.77 0.24 0.62 0.37 0.88 0.62 1 0.27 0.66 0.69 0.14 1 ]
    [ 0.64 0.41 0.16 1 0.46 0.41 0.87 0.28 0.27 0.34 0.88 0.85 0.52 1 0 0.6 0 0.47 1 0.75 0.93 0.79 0.59 0.71 1 0.55 0.77 0 1 1 0.48 0.44 0.76 0.91 0.81 1 0.21 0.26 0.4 0.18 0.86 0.64 0.59 1 0.3 0.98 0 0.21 0.21 0.72 ]
    [ 0.47 0.89 1 0.86 0.71 1 0.83 0.49 0.25 0.82 1 1 0.95 0.56 0.26 0 0.92 0.93 0.97 0.34 0.28 0.74 1 0.71 0.49 0.65 0.94 0.15 0.71 0.62 0.92 0.6 0.24 0.5 0.8 0.21 1 0.87 0.93 0.9 0.77 0.42 0 0 0.92 0.93 0.79 0.81 0.78 0.18 ]
    [ 0.62 0.22 0 0.51 0.42 0.56 0.86 1 0.35 0.98 0.46 0.86 0.37 0.99 0.16 0.56 0.78 0.9 0.6 0.52 0.66 0.68 0.69 0.19 1 0.81 0.91 1 0.62 0.91 0.15 0.95 1 0 0.27 0.26 0.87 1 0.34 0.57 0.42 0.57 0.2 0.23 0.42 0.6 0.57 0.5 0.49 0.15 ]
    [ 0.45 0.45 1 0.18 0.74 0.96 1 0 0.66 0.47 0.86 0.63 0.93 0.83 0.54 0 0 0.6 0.37 0.97 1 0.51 0 0.16 0.6 0.72 0.92 0.95 1 0.75 0.33 0.33 0.27 0.36 0.77 0.4 0.93 0.34 1 0.35 0.73 0.81 0.33 0.46 0.9 1 0.92 1 0.37 0.45 ]
    [ 0 0.85 0.71 0.87 1 0.27 0.35 0.22 0.99 0.83 0.69 0.84 0.51 0.39 0.68 0.49 0.76 0.88 0 0.84 0.41 0.4 0.31 0.93 0.49 0.31 0.86 0.52 0.74 0.87 1 0.89 0.86 0.53 0.24 0.18 0.9 0.57 0.35 1 0.26 0.83 0.2 0.36 0.81 0.48 0 0.62 0.61 0.92 ]
    [ 1 1 0.48 0 0.82 0.54 0.74 0.88 0.42 0.97 0.68 0.85 0.29 0.95 1 1 0 0.99 0.37 0.37 0 0.71 0.23 0.25 0.93 0.41 0.4 0.48 0.27 0.33 0.61 0.81 0.94 0.25 0.62 0.86 0.77 0.42 0.73 0.26 1 0.65 0.14 0.34 0.36 0.45 0.37 1 0 0.72 ]
    [ 0.59 0.84 0.69 0.95 0.28 0.87 1 0.5 1 0.19 0.69 0.37 0.97 0.68 0.89 0.94 0.88 0.91 0.27 0.35 0.2 0.45 0.62 0 0.74 1 0.61 1 0.55 0.61 1 0.28 0.38 0.78 0.37 0.64 0.42 0.57 0.81 0.83 0.65 1 0.28 0.87 0.72 0.22 0.93 1 1 0.96 ]
    [ 0.93 0.21 0.47 0 0.68 0.48 0.96 0 0.26 0 0.76 0.36 1 0.72 0.84 0.34 0.6 0.38 0.2 0.36 0.61 0.61 0.87 0.27 0.21 0.89 0.89 0 0.19 0.67 0.68 0.64 0.98 0.75 0.88 0.59 0 0.2 0.33 0.2 0.14 0.28 1 0.96 1 0.18 0.3 0.93 0.43 0.75 ]
    [ 0.26 0.73 0.15 0.14 0.61 0.31 0.27 0.52 0.67 0.31 1 0.96 0 0.48 0.92 0.73 0.28 1 0.67 0.62 0.57 0 0.97 0.59 0 0.15 0.36 0.84 0.6 0.6 0.16 0.33 0.76 0.95 0.62 1 0 0.23 0.46 0.36 0.34 0.87 0.96 1 0.21 0.85 0.96 0.68 0.59 0.22 ]
    [ 0.73 0.98 0.36 0.7 0.67 0.81 0.75 0.92 1 0.73 0.91 0.16 0.23 1 0.66 0.75 0.23 0 1 0.95 0.75 0.65 0.4 1 0.46 0.26 1 0.89 0.78 0.13 0.68 0.3 1 0 1 0.3 0.92 0.42 0.9 0.81 0.36 0.72 1 0.21 1 1 1 0.61 0.52 0.54 ]
    [ 1 0.9 1 0.18 0.95 0.82 0.61 0.43 0.65 0.38 0 0.28 0.84 0.7 0.78 1 0.17 0.14 0 0.7 0.79 0.65 0.5 0.91 0.46 0.13 0.46 0.44 0.47 0.43 0.34 1 0.81 0.57 0.27 0.98 0.93 0.6 1 0.48 0.45 0.22 0.18 0.85 1 1 0.92 0.93 0.35 1 ]
    [ 0 0.17 1 0.36 0.91 0.77 0.45 0.75 0.22 0.41 0.24 1 0.95 0.84 0 0.45 0.27 0.74 0.66 0.31 0.6 0.7 0.51 0.96 0.76 0.96 0.93 0.81 0.99 1 0.68 0.91 1 1 0.66 0 0.79 0.57 0.92 0 0.37 0.93 0.3 0.96 1 0.92 1 0.68 0.82 1 ]
    [ 1 0.91 0.86 0.55 0.15 0.2 0.5 0.52 0.47 0.38 0.82 0.95 1 0.79 0.57 0.89 0.58 1 0.71 0.63 0.53 1 0.74 0.89 0.19 0.76 0.18 0.35 0.73 0.43 0.47 0.55 0 0.87 0.69 0.21 0.81 0.5 1 0.62 1 1 0.93 0.68 0.61 0.93 0.68 1 0.26 0.65 ]
    [ 0.26 0.54 0.87 0 0.46 0.69 0.44 0.82 1 0.79 0.86 0.86 0.61 0.64 0.24 0.48 1 0 0.7 0.69 1 1 0.78 0.72 0 0.5 0.17 0.86 0.95 0.27 0.91 0.8 0.61 0.12 0.14 0.21 0.78 0.49 0.37 0.61 0 1 0.43 0.59 0.52 0.35 0.82 0.26 1 0.98 ]
    [ 0.34 0.54 0.95 0.45 1 0.18 0.96 0.62 0.93 0.75 0 0.43 0.69 0.85 0.51 0.67 0.85 1 0.14 0.27 0.81 0.89 0.65 0.87 0.41 0.62 0.7 0.69 0.89 1 1 0.64 1 0.76 1 0.72 0.18 0.15 0.45 0.92 0.72 0.96 0.75 0.22 0.54 1 1 0.65 0.98 1 ]
];
